Chapter,Shloka,Sanskrit Word,Hindi Meaning,Transliterated Word,English Meaning
2,21,अवनाशिनम्,अविनाशी को,avanāśinam,to the indestructible
2,21,नित्यम्,शाश्वत,nityam,eternal
2,21,यः,वह जो,yaḥ,the one who
2,21,एनम्,इस,enam,This
2,21,अजम्,अजन्मा,ajam,unborn
2,21,अव्यम्,अपरिवर्तनीय,avyam,irreversible
2,21,कथम्,कैसे,katham,How
2,21,सः,वह,saḥ,He
2,21,पुरुषः,पुरुषः पार्थ,puruṣaḥ,Male: Parth
2,21,कम्,किसको,kam,Whom
2,21,घातयति,मारने का कारण,ghātayati,reason to kill
2,21,हन्ति,मारता है,hanti,kills
2,21,कम्,किसको।,kam,Whom.
2,22,वासांसि,वस्त्र,vāsāṃsi,clothes
2,22,जीर्णानि,फटे पुराने,jīrṇāni,torn old
2,22,यथा,जिस प्रकार,yathā,Just as
2,22,विहाय,त्याग कर,vihāya,by giving up
2,22,नवानि,नये,navāni,new
2,22,गृहणति,धारण करता है,gṛhaṇati,holds
2,22,नरः,मनुष्य,naraḥ,man
2,22,तथा,उसी प्रकार,tathā,in the same way
2,22,शरीराणि,शरीर को,śarīrāṇi,to the body
2,22,विहाय,त्याग कर,vihāya,by giving up
2,22,जीर्णानि,व्यर्थ,jīrṇāni,Useless
2,22,अन्यानि,भिन्न,anyāni,Different
2,22,संयाति,प्रवेश करता है,saṃyāti,enters
2,22,नवानि,नये,navāni,new
2,22,देही,देहधारी आत्मा।,dehī,Incarnate soul.
2,23,न,नहीं,na,No
2,23,एनम्,इस आत्मा को,enam,to this soul
2,23,छिन्दन्ति,टुकड़े,chindanti,pieces
2,23,शस्त्राणि,शस्त्र द्वारा,śastrāṇi,by weapon
2,23,न,नहीं,na,No
2,23,एनम्,इस आत्मा को,enam,to this soul
2,23,दहति,जला सकता है,dahati,can burn
2,23,पावक:,अग्नि,pāvaka:,fire
2,23,न,कभी नहीं,na,Never
2,23,च,और,ca,And
2,23,एनम्,इस आत्मा को,enam,to this soul
2,23,क्लेदयन्ति,भिगोया जा सकता है,kledayanti,can be soaked
2,23,आपः,जल,āpaḥ,Water
2,23,न,कभी नहीं,na,Never
2,23,शोषयति,सुखाया जा सकता है,śoṣayati,can be dried
2,23,मारूतः,वायु।,mārūtaḥ,Air.
2,24,अच्छेद्यः,खण्डित न होने वाला,acchedyaḥ,indestructible
2,24,अयम्,यह आत्मा,ayam,this soul
2,24,अदाह्यः,भिगोया न जा सकने वाला,adāhyaḥ,non-soakable
2,24,अयम्,यह आत्मा,ayam,this soul
2,24,अक्लेद्यः,गीला नहीं किया जा सकता,akledyaḥ,can't get wet
2,24,अशोष्यः,सुखाया न जा सकने वाला,aśoṣyaḥ,non-dryable
2,24,एव,वास्तव में,eva,In fact
2,24,च,तथा,ca,And
2,24,नित्यः,सनातन,nityaḥ,eternal
2,24,सर्वगतः,सर्वव्यापी,sarvagataḥ,omnipresent
2,24,स्थाणुः,अपरिवर्तनीय,sthāṇuḥ,irreversible
2,24,अचलः,जड़,acalaḥ,Root
2,24,अयम्,यह आत्मा,ayam,this soul
2,24,सनातनः,सदा नित्य।,sanātanaḥ,Always daily.
2,25,अव्यक्त:,अप्रकट,avyakta:,latent
2,25,अयम्,यह आत्मा,ayam,this soul
2,25,अचिन्त्यः,अकल्पनीयः अयम्,acintyaḥ,unimaginable: ayam
2,25,अविकार्य:,अपरिवर्तित,avikārya:,unchanged
2,25,अयम्,यह आत्मा,ayam,this soul
2,25,उच्यते,कहलाता है,ucyate,is called
2,25,तस्मात्,इसलिए,tasmāt,so
2,25,एवम्,इस प्रकार,evam,Thus
2,25,विदित्वा,जानकर,viditvā,after knowing
2,25,एनम्,इस आत्मा में,enam,in this soul
2,25,न,नहीं,na,No
2,25,अनुशोचितुम्,शोक करना,anuśocitum,to mourn
2,25,अर्हसि,उचित।,arhasi,Appropriate.
2,26,अथ,"यदि, फिर भी",atha,"If, however"
2,26,च,और,ca,And
2,26,एनम्,आत्मा,enam,Soul
2,26,नित्य,जातम्,nitya,caste
2,26,नित्यम्,सदैव,nityam,forever
2,26,वा,अथवा,vā,Or
2,26,मन्यसे,तुम ऐसा सोचते हो,manyase,you think so
2,26,मृतम,निर्जीव,mṛtama,inanimate
2,26,तथा अपि,फिर भी,tathā api,still
2,26,त्वम्,तुम,tvam,You
2,26,महाबाहो,बलिष्ठ भुजाओं वाला,mahābāho,strong-armed
2,26,न,नहीं,na,No
2,26,एवम्,इस प्रकार,evam,Thus
2,26,शोचितुम्,शोक अर्हसि उचित।,śocitum,Condolences are appropriate.
2,27,जातस्य,वह जो जन्म लेता है,jātasya,he who is born
2,27,हि,के लिए,hi,For
2,27,ध्रुवः,निश्चय ही,dhruvaḥ,tentu Saja
2,27,मृत्युः,मृत्युः ध्रुवम् निश्चित है,mṛtyuḥ,death is certain
2,27,जन्म,जन्म,janma,Birth
2,27,मृतस्य,मृत प्राणी का,mṛtasya,of a dead animal
2,27,च,भी,ca,Too
2,27,तस्मात्,इसलिए,tasmāt,so
2,27,अपरिहार्य,अर्थे,aparihārya,meaning
2,27,न,नहीं,na,No
2,27,त्वम्,तुम,tvam,You
2,27,शोचितुम्,शोक करना,śocitum,to mourn
2,27,अर्हसि,उचित।,arhasi,Appropriate.
2,28,अव्यक्त,आदीनि,avyakta,Adini
2,28,भूतानि,सभी जीव,bhūtāni,all living beings
2,28,व्यक्त,प्रकट,vyakta,Revealed
2,28,मध्यानि,मध्य में,madhyāni,in the middle
2,28,भारत,"भरतवंशी, अर्जुन",bhārata,"Bharatvanshi, Arjun"
2,28,अव्यक्त,अप्रकट,avyakta,latent
2,28,निधानानि,मृत्यु होने पर,nidhānāni,upon death
2,28,एव,वास्तव में,eva,In fact
2,28,तत्र,अतः,tatra,Therefore
2,28,का,क्या,kā,What
2,28,परिदेवना,शोक।,paridevanā,Mourning.
2,29,आश्चर्यवत्,आश्चर्य के रूप में,āścaryavat,as a surprise
2,29,पश्यति,देखता है,paśyati,sees
2,29,कश्चित्,कोई,kaścit,Any
2,29,एनम्,इस आत्मा को,enam,to this soul
2,29,आश्चर्यवत्,आश्चर्य के समान,āścaryavat,like a surprise
2,29,वदति,कहता है,vadati,says
2,29,तथा,जिस प्रकार,tathā,Just as
2,29,एव,वास्तव में,eva,In fact
2,29,च,भी,ca,Too
2,29,अन्यः,दूसरा,anyaḥ,Second
2,29,आश्चर्यवत्,आश्चर्यः च,āścaryavat,Wonder: Ch
2,29,एनम्,इस आत्मा को,enam,to this soul
2,29,अन्यः,दूसरा,anyaḥ,Second
2,29,शृणोति,सुनता है,śṛṇoti,listens
2,29,श्रृत्वा,सुनकर,śrṛtvā,after listening
2,29,अपि,भी,api,Too
2,29,एनम्,इस आत्मा को,enam,to this soul
2,29,वेद,जानता है,veda,knows
2,29,न,कभी नहीं,na,Never
2,29,च,तथा,ca,And
2,29,एव,नि:संदेह,eva,without a doubt
2,29,कश्चित्,कुछ।,kaścit,Some.
2,30,देही,शरीर में निवास करने वाली जीवात्मा,dehī,soul residing in the body
2,30,नित्यम्,सदैव,nityam,forever
2,30,अवध्यः,अविनाशी,avadhyaḥ,indestructible
2,30,अयम्,यह आत्मा,ayam,this soul
2,30,देहै,शरीर में,dehai,in the body
2,30,सर्वस्य,प्रत्येक,sarvasya,Everyone
2,30,भारत,"भरतवंशी, अर्जुन",bhārata,"Bharatvanshi, Arjun"
2,30,तस्मात्,इसलिए,tasmāt,so
2,30,सर्वाणि,समस्त,sarvāṇi,all
2,30,भूतानि,जीवित प्राणी,bhūtāni,living beings
2,30,न,नहीं,na,No
2,30,त्वम्,तुम,tvam,You
2,30,शोचितुम्,शोक करना,śocitum,to mourn
2,30,अर्हसि,चाहिए।,arhasi,Needed
2,31,स्व,धर्मम्,sva,Dharmam
2,31,अपि,भी,api,Too
2,31,च,और,ca,And
2,31,अवेक्ष्य,विचार कर,avekṣya,think about
2,31,न,नहीं,na,No
2,31,विकम्पितुम्,त्यागना,vikampitum,give up
2,31,अर्हसि,चाहिए,arhasi,Needed
2,31,धात्,धर्म के लिए,dhāt,for religion
2,31,हि,वास्तव में युद्धात्,hi,actually war
2,31,श्रेयः,श्रेष्ठ,śreyaḥ,Best 
2,31,अन्यत्,अन्य,anyat,Other
2,31,क्षत्रियस्य,क्षत्रिय का,kṣatriyasya,Kshatriya's
2,31,न,नहीं,na,No
2,31,विद्यते,है।,vidyate,Is.
2,32,यदृच्छया,बिना इच्छा के,yadṛcchayā,without desire
2,32,च,भी,ca,Too
2,32,उपपन्नम्,प्राप्त होना,upapannam,Have received
2,32,स्वर्ग,स्वर्गलोक का,svarga,heavenly
2,32,द्वारम्,द्वार,dvāram,door
2,32,अपावृतम्,खुल जाता है,apāvṛtam,opens up
2,32,सुखिनः,सुखी,sukhinaḥ,happy
2,32,क्षत्रियाः,योद्धा,kṣatriyāḥ,Warrior
2,32,पार्थ,"पृथापुत्र, अर्जुन",pārtha,"Prithaputra, Arjun"
2,32,लभन्ते,प्राप्त करते हैं,labhante,Receive
2,32,युद्धम्,युद्ध को,yuddham,to war
2,32,ईदृशम्,इस प्रकार।,īdṛśam,Thus.
2,33,अथ,चेत् यदि फिर भी,atha,even if conscious
2,33,त्वम्,तुम,tvam,You
2,33,इमम्,इस,imam,This
2,33,धर्म्यम्,संग्रामम्,dharmyam,Sangramam
2,33,न,नहीं,na,No
2,33,करिष्यसि,करोगे,kariṣyasi,will do
2,33,ततः,तब,tataḥ,Then
2,33,स्व,धर्मम् वेदों के अनुसार मनुष्य के निर्धारित कर्त्तव्य,sva,Dharmam - Man's prescribed duties according to the Vedas
2,33,कीर्तिम्,प्रतिष्ठा,kīrtim,Prestige
2,33,च,भी,ca,Too
2,33,हित्वा,खोकर,hitvā,after getting lost
2,33,पापम्,पाप,pāpam,Sin
2,33,अवाप्स्यसि,प्राप्त करोगे।,avāpsyasi,Will receive.
2,34,अकीर्तिम्,अपयश,akīrtim,infamy
2,34,च,और,ca,And
2,34,अपि,भी,api,Too
2,34,भूतानि,लोगः कथयिष्यन्ति,bhūtāni,People: Kathayishyanti
2,34,ते,तुम्हारे,te,Your
2,34,अव्ययाम्,सदा के लिए,avyayām,Forever
2,34,सम्भावितस्य,सम्मानित व्यक्ति के लिए,sambhāvitasya,for the honored person
2,34,च,भी,ca,Too
2,34,अकीर्तिः,अपमान,akīrtiḥ,Insult
2,34,मरणात्,मृत्यु की तुलना में,maraṇāt,than death
2,34,अतिरिच्यते,से बढ़कर होता है।,atiricyate,Is greater than.
2,35,भयात्,भय के कारण,bhayāt,because of fear
2,35,रणात्,युद्धभूमि से,raṇāt,from the battlefield
2,35,उपरतम्,भाग जाना,uparatam,run away
2,35,मस्यन्ते,सोचेंगे,masyante,will think
2,35,त्वाम्,तुमको महारथा,tvām,you are great
2,35,येषाम,जिनकी,yeṣāma,whose
2,35,च,और,ca,And
2,35,बहुमतः,अति सम्मानित,bahumataḥ,highly respected
2,35,भूत्वा,हो कर,bhūtvā,done
2,35,यास्यसि,तुम गवा दोगे,yāsyasi,you will lose
2,35,लाघवम्,तुच्छ श्रेणी के।,lāghavam,Insignificant category.
2,36,अवाच्य,वादान,avācya,instrument
2,36,बहून् कईः वदिष्यन्ति,कहेंगे,bahūn kaīḥ vadiṣyanti,will say
2,36,तब,तुम्हारे,taba,Your
2,36,अहिताः,शत्रु,ahitāḥ,enemy
2,36,निन्दन्तः,निन्दा,nindantaḥ,condemnation
2,36,तब,तुम्हारी,taba,yours
2,36,सामर्थ्यम्,शक्ति को,sāmarthyam,to power
2,36,ततः,उसकी अपेक्षा,tataḥ,than that
2,36,दुःख,तरम्,duḥkha,hot
2,36,नु,निसन्देह,nu,undoubtedly
2,36,किम्,क्या,kim,What
2,37,हत:,मारे जाना,hata:,to be killed
2,37,वा,या तो,vā,either
2,37,प्राप्स्यसि,प्राप्त करोगे,prāpsyasi,will receive
2,37,स्वर्गम्,स्वर्गलोक को,svargam,to heaven
2,37,जित्वा,विजयी होकर,jitvā,victoriously
2,37,वा,अथवा,vā,Or
2,37,भोक्ष्यसे,तुम भोगोगे,bhokṣyase,you will suffer
2,37,महीम्,पृथ्वी लोक का सुख,mahīm,earthly happiness
2,37,तस्मात्,इसलिए,tasmāt,so
2,37,उत्तिष्ठ,उठो,uttiṣṭha,get up
2,37,कौन्तेय,"कुन्तीपुत्र, अर्जुन",kaunteya,"Kuntiputra, Arjun"
2,37,युद्धाय,युद्ध के लिए,yuddhāya,for war
2,37,कृत,निश्चय,kṛta,determination
2,38,सुख,"सुख, दुःखे",sukha,"happiness, sorrow"
2,38,समेकृत्वा,समभाव से,samekṛtvā,equanimously
2,38,लाभ,अलाभौ लाभ तथा हानि,lābha,unrealized profit and loss
2,38,जय,अजयौ,jaya,ajayau
2,38,युद्धाय,युद्ध के लिए,yuddhāya,for war
2,38,युज्यस्व,तैयार हो जाओ,yujyasva,get ready
2,38,न,कभी नहीं,na,Never
2,38,एवम्,इस प्रकार,evam,Thus
2,38,पापम्,पाप,pāpam,Sin
2,38,अवाप्स्यसि,अर्जित करेंगे।,avāpsyasi,Will earn.
2,39,एषा,अबतक,eṣā,So far
2,39,ते तुम्हारे लिए: अभिहिता,वर्णन कियाः सांख्ये,te tumhāre lie: abhihitā,Described: Sankhya
2,39,तु,वास्तव में,tu,In fact
2,39,इमाम्,इसे,imām,This
2,39,शृणु,सुनो,śṛṇu,Listen
2,39,बुद्धया,बुद्धि से,buddhayā,intelligently
2,39,युक्तः,"एकीकृत, यया जिससे",yuktaḥ,"integrated, or thereby"
2,39,पार्थ,"पृथापुत्र,अर्जुन",pārtha,"Prithaputra, Arjun"
2,39,कर्म,बन्धाम्,karma,Bandham
2,39,प्रहास्यसि,तुम मुक्त हो जाओगे।,prahāsyasi,You will be free.
2,40,न,नहीं,na,No
2,40,इह,इस मे,iha,in this
2,40,अभिक्रम,प्रयत्न,abhikrama,try
2,40,नाश:,हानि,nāśa:,Loss
2,40,अस्ति,है,asti,Is
2,40,प्रत्यवायः,प्रतिकूल परिणाम,pratyavāyaḥ,adverse consequences
2,40,न,कभी नहीं,na,Never
2,40,विद्यते,है,vidyate,Is
2,40,सु,अल्पम्,su,alpam
2,40,अपि,यद्यपि,api,Although
2,40,अस्य,इसका,asya,Its
2,40,धर्मस्य,व्यवसाय,dharmasya,Business
2,40,त्रयते,रक्षा करता है,trayate,protects
2,40,महतः,महान,mahataḥ,Great
2,40,भयात्,भय से।,bhayāt,Out of fear.
2,41,व्यवसाय,आत्मिका,vyavasāya,atmika
2,41,बुद्धि:,बुद्धि,buddhi:,Intelligence
2,41,एका,एकमात्र,ekā,sole
2,41,इह,इस मार्ग पर,iha,on this route
2,41,कुरु,नन्दन,kuru,Nandan
2,41,बहु,शाखा:,bahu,branch:
2,41,हि,निश्चय ही,hi,tentu Saja
2,41,अनन्ताः,असीमित,anantāḥ,unlimited
2,41,च,भी,ca,Too
2,41,बुद्धयः,वुद्धि,buddhayaḥ,intelligence
2,41,अव्यवसायिनाम्,संकल्प रहित।,avyavasāyinām,Without resolution.
2,42,याम् इमाम् ये सब पुष्पिताम्,बनावटी,yām imām ye saba puṣpitām,artificial
2,42,वाचम्,शब्द,vācam,Word
2,42,प्रवदन्ति,कहते हैं,pravadanti,They say
2,42,अविपश्चित:,अल्पज्ञान वाले मनुष्य,avipaścita:,man of little knowledge
2,42,वेदवादरताः,वेदों के अलंकारिक शब्दों में आसक्ति रखने वाले,vedavādaratāḥ,Those who are fond of the figurative words of the Vedas
2,42,पार्थ,"पृथा का पुत्र, अर्जुन",pārtha,"Arjun, son of Pritha"
2,42,न,अन्यत्,na,otherwise
2,42,अस्ति,है,asti,Is
2,42,इति,इस प्रकार,iti,Thus
2,42,वादिनः,अनुशंसा करना,vādinaḥ,recommend
2,42,काम,आत्मानः,kāma,Atmanah
2,42,स्वर्गपरा:,स्वर्गलोक की प्राप्ति का लक्ष्य रखने वाले,svargaparā:,those who aim to reach heaven
2,42,जन्म,कर्म,janma,Deed
2,42,प्रदाम,प्रदान करने वाला,pradāma,provider
2,42,क्रियाविशेष,आडम्बरपूर्ण धार्मिक अनुष्ठान करना,kriyāviśeṣa,performing ostentatious religious ceremonies
2,42,बहुलाम्,विभिन्न,bahulām,various
2,42,भोग,इन्द्रिय तृप्ति,bhoga,sense gratification
2,42,ऐश्वर्य,वैभव,aiśvarya,grandeur
2,42,गतिम्,उन्नति,gatim,Development
2,42,प्रति,की ओर।,prati,towards.
2,43,याम् इमाम् ये सब पुष्पिताम्,बनावटी,yām imām ye saba puṣpitām,artificial
2,43,वाचम्,शब्द,vācam,Word
2,43,प्रवदन्ति,कहते हैं,pravadanti,They say
2,43,अविपश्चित:,अल्पज्ञान वाले मनुष्य,avipaścita:,man of little knowledge
2,43,वेदवादरताः,वेदों के अलंकारिक शब्दों में आसक्ति रखने वाले,vedavādaratāḥ,Those who are fond of the figurative words of the Vedas
2,43,पार्थ,"पृथा का पुत्र, अर्जुन",pārtha,"Arjun, son of Pritha"
2,43,न,अन्यत्,na,otherwise
2,43,अस्ति,है,asti,Is
2,43,इति,इस प्रकार,iti,Thus
2,43,वादिनः,अनुशंसा करना,vādinaḥ,recommend
2,43,काम,आत्मानः,kāma,Atmanah
2,43,स्वर्गपरा:,स्वर्गलोक की प्राप्ति का लक्ष्य रखने वाले,svargaparā:,those who aim to reach heaven
2,43,जन्म,कर्म,janma,Deed
2,43,प्रदाम,प्रदान करने वाला,pradāma,provider
2,43,क्रियाविशेष,आडम्बरपूर्ण धार्मिक अनुष्ठान करना,kriyāviśeṣa,performing ostentatious religious ceremonies
2,43,बहुलाम्,विभिन्न,bahulām,various
2,43,भोग,इन्द्रिय तृप्ति,bhoga,sense gratification
2,43,ऐश्वर्य,वैभव,aiśvarya,grandeur
2,43,गतिम्,उन्नति,gatim,Development
2,43,प्रति,की ओर।,prati,towards.
2,44,भोग,तृप्ति,bhoga,satisfaction
2,44,ऐश्वर्य,विलासता,aiśvarya,luxury
2,44,प्रसक्तानाम्,द्योर आसक्त पुरुष,prasaktānām,obsessed man
2,44,तया,ऐसे पदार्थों से,tayā,from such substances
2,44,अपहृत,चेतसाम्,apahṛta,chetsam
2,44,व्यवसाय,आत्मिका:,vyavasāya,Atmika:
2,44,बुद्धि,बुद्धि,buddhi,Intelligence
2,44,समाधौ,पूरा करना,samādhau,to complete
2,44,न,नहीं,na,No
2,44,विधीयते,घटित होती है।,vidhīyate,It happens.
2,45,त्रै,गुण्य,trai,virtuous
2,45,विषयाः,विषयों में,viṣayāḥ,in subjects
2,45,वेदाः,वैदिक ग्रंथ,vedāḥ,Vedic scriptures
2,45,निस्त्रैगुण्यः,"गुणतीत, प्रकृति के तीनों गुणों से परे",nistraiguṇyaḥ,"Gunatit, beyond the three qualities of nature"
2,45,भव,होना,bhava,Happen
2,45,अर्जुन,अर्जुन,arjuna,Arjun
2,45,निर्द्वन्द्वः,द्वैतभाव से मुक्त,nirdvandvaḥ,free from duality
2,45,नित्य,सत्त्व,nitya,substance
2,45,निर्योग,क्षेमः,niryoga,welfare
2,45,आत्मवान्,आत्मलीन।,ātmavān,Self absorbed.
2,46,यावान्,जितना भी,yāvān,Whatever
2,46,अर्थः,प्रयोजन,arthaḥ,Purpose
2,46,उदपाने,जलकूप में,udapāne,in the water well
2,46,सर्वतः,सभी प्रकार से,sarvataḥ,in every way
2,46,सम्प्लुत,उदके,sampluta,Udke
2,46,तावान्,उसी तरह,tāvān,in the same way
2,46,सर्वेषु,समस्त,sarveṣu,all
2,46,वेदेषु,वेदों में,vedeṣu,in the vedas
2,46,ब्राह्मणस्य,परम सत्य को जानने वाला,brāhmaṇasya,one who knows the ultimate truth
2,46,विजानतः,पूर्ण ज्ञानी।।,vijānataḥ,Complete knowledge.
2,47,कर्मणि,निर्धारित कर्मः एव केवल,karmaṇi,Prescribed Karma: And Only
2,47,अधिकारः,अधिकार,adhikāraḥ,rights
2,47,ते,तुम्हारा,te,yours
2,47,मा,नहीं,mā,No
2,47,फलेषु,कर्मफल मे,phaleṣu,in the fruit of karma
2,47,कदाचन,किसी भी समय,kadācana,at any time
2,47,मा,कभी नहीं,mā,Never
2,47,कर्म,फल,karma,Fruit
2,47,हेतुः,कारण,hetuḥ,Reason
2,47,भू:,होना,bhū:,Happen
2,47,मा,नहीं,mā,No
2,47,ते,तुम्हारी,te,yours
2,47,सङ्गः,आसक्ति,saṅgaḥ,Attachment
2,47,अस्तु,हो,astu,yes
2,47,अकर्मणि,अकर्मा रहने में।,akarmaṇi,In remaining inaction.
2,48,योगस्थः,योग में स्थिर होकर,yogasthaḥ,standing still in yoga
2,48,कुरु,करो,kuru,do it
2,48,कर्मणि,कर्त्तव्यः सङ्गम्,karmaṇi,Duty: Confluence
2,48,त्यक्त्वा,त्याग कर,tyaktvā,by giving up
2,48,धनञ्जय,अर्जुन,dhanañjaya,Arjun
2,48,सिद्धि,असिद्धयोः,siddhi,Asiddhayoah
2,48,समः,समभाव,samaḥ,equanimity
2,48,भूत्वा,होकर,bhūtvā,after being
2,48,समत्वम्,समभाव,samatvam,equanimity
2,48,योग,योग,yoga,sum
2,48,उच्यते,कहा जाता है।,ucyate,It is said.
2,49,दूरेण,दूर से त्यागना,dūreṇa,throw away
2,49,हि,निश्चय ही,hi,tentu Saja
2,49,अवरम्,निष्कृष्ट,avaram,poor
2,49,कर्म,कामनायुक्त कर्म,karma,desired action
2,49,बुद्धि योगात्,दिव्य ज्ञान में स्थित बुद्धि के साथ,buddhi yogāt,with wisdom situated in divine knowledge
2,49,धनञ्जय,अर्जुन,dhanañjaya,Arjun
2,49,बुद्धौ,दिव्य ज्ञान और अंतर्दृष्टि,buddhau,divine knowledge and insight
2,49,शरणम्,शरण ग्रहण करना,śaraṇam,take refuge
2,49,अन्विच्छ,शरण ग्रहण करो,anviccha,take shelter
2,49,कृपणा:,कंजूस,kṛpaṇā:,stingy
2,49,फल,हैतवः,phala,हत्वः
2,50,बुद्धि,युक्त:,buddhi,Containing:
2,50,जहाति,मुक्त हो सकता है,jahāti,can be free
2,50,इह,इस जीवन मे,iha,in this life
2,50,उभे,दोनों,ubhe,Both
2,50,सुकृत,दुष्कृते,sukṛta,evildoers
2,50,तस्मात्,इसलिए,tasmāt,so
2,50,योगाय,योग के लिए,yogāya,for yoga
2,50,युज्यस्व,प्रयास करना,yujyasva,endeavor
2,50,योगः,योगः कर्मसु,yogaḥ,Yoga: Karmasu
2,51,कर्मजम्,सकाम कर्मों से उत्पन्न,karmajam,resulting from successful actions
2,51,बुद्धि,युक्ताः,buddhi,Yuktaah
2,51,हि,निश्चय ही,hi,tentu Saja
2,51,फलम्,फल,phalam,Fruit
2,51,त्यक्त्वा,त्याग कर,tyaktvā,by giving up
2,51,मनीषिणः,बड़े,manīṣiṇaḥ,elder
2,51,पदं,अवस्था पर,padaṃ,on stage
2,51,गच्छन्ति,पहुँचते हैं,gacchanti,reach
2,51,अनामयम्,कष्ट रहित।,anāmayam,Pain free.
2,52,यदा,जब,yadā,When
2,52,ते,तुम्हारा,te,yours
2,52,मोह,मोह,moha,fascination
2,52,कलिलम्,दलदल,kalilam,swamp
2,52,बुद्धिः,बुद्धि,buddhiḥ,Intelligence
2,52,व्यतितरिष्यति,पार करना,vyatitariṣyati,cross
2,52,तदा,तब,tadā,Then
2,52,गन्तासि,तुम प्राप्त करोगे,gantāsi,you will receive
2,52,निर्वेदम्,उदासीनता,nirvedam,indifference
2,52,श्रोतव्यस्य,सुनने योग्य,śrotavyasya,audible
2,52,श्रुतस्य,सुने हुए को,śrutasya,to the heard
2,52,च,और।,ca,And.
2,53,श्रुतिविप्रतिपन्ना,वेदों के साकाम कर्मकाण्डों के खडों की ओर आकर्षित न होना,śrutivipratipannā,Not being attracted towards the sacred rituals of the Vedas
2,53,ते,तुम्हारा,te,yours
2,53,यदा,जब,yadā,When
2,53,स्थास्यति,स्थिर हो जाएगा,sthāsyati,will become stable
2,53,निश्चला,अस्थिर,niścalā,Unstable
2,53,समाधौ,दिव्य चेतना,samādhau,divine consciousness
2,53,अचला,स्थिर,acalā,steady
2,53,बुद्धिः,बुद्धि,buddhiḥ,Intelligence
2,53,तदा,तब,tadā,Then
2,53,योगम्,योग,yogam,sum
2,53,अवाप्स्यसि,तुम प्राप्त करोगे।,avāpsyasi,you will receive.
2,54,अर्जुन उवाच,अर्जुन ने कहा,arjuna uvāca,Arjun said
2,54,स्थित,प्रज्ञस्य,sthita,wisdom
2,54,का,क्या,kā,What
2,54,भाषा,बोलना,bhāṣā,Speak
2,54,समाधिस्थस्य,दिव्य चेतना में स्थित मनुष्य का,samādhisthasya,of man in divine consciousness
2,54,केशव,"केशी राक्षस का दमन करने वाले, श्रीकृष्ण",keśava,"Lord Krishna, the suppressor of demon Keshi"
2,54,स्थितधी:,प्रबुद्ध व्यक्ति,sthitadhī:,enlightened person
2,54,किम्,क्या,kim,What
2,54,प्रभाषेत,बोलता है,prabhāṣeta,speaks
2,54,किम्,कैसे,kim,How
2,54,आसीत,बैठता है,āsīta,sits
2,54,व्रजेत,चलता है,vrajeta,it goes
2,54,किम्,कैसे।,kim,How.
2,55,श्रीभगवान्,उवाच,śrībhagavān,Uvaach
2,55,प्रजहाति,परित्याग करता है,prajahāti,abandons
2,55,यदा,जब,yadā,When
2,55,कामान्,स्वार्थयुक्त,kāmān,selfish
2,55,सर्वान्,सभी,sarvān,All
2,55,पार्थ,"पृथापुत्र, अर्जुन",pārtha,"Prithaputra, Arjun"
2,55,मनः,गतान्,manaḥ,Gatan
2,55,आत्मनि,आत्मा की,ātmani,of the soul
2,55,एव,केवल,eva,Only
2,55,आत्मना,शुद्ध मन से,ātmanā,with a pure heart
2,55,तुष्टः,"सन्तुष्ट, स्थितप्रज्ञः",tuṣṭaḥ,"Satisfied, Sthitaprajna"
2,55,तदा,"उस समय, तब",tadā,"at that time, then"
2,55,उच्यत,कहा जाता है।,ucyata,It is said.
2,56,दुःखेषु,दुखों में,duḥkheṣu,in sorrow
2,56,अनुद्वि,ग्रमना:,anudvi,Gremna:
2,56,सुखेषु,सुख में,sukheṣu,in happiness
2,56,विगत,स्पृहः,vigata,Sprahah
2,56,वीत,मुक्त,vīta,Free
2,56,राग,आसक्ति,rāga,Attachment
2,56,भय,भय,bhaya,fear
2,56,क्रोधः,क्रोध से,krodhaḥ,angrily
2,56,स्थित,धी:,sthita,धी:
2,56,मुनि:,मुनि,muni:,Muni
2,56,उच्यते,कहलाता है।,ucyate,Is called.
2,57,यः,जो,yaḥ,Who
2,57,सर्वत्र,सभी जगह,sarvatra,everywhere
2,57,अनभिस्नेहः,अनासक्त,anabhisnehaḥ,detached
2,57,तत्,उस,tat,That
2,57,प्राप्य,प्राप्त करके,prāpya,by receiving
2,57,शुभ,अच्छा,śubha,Good
2,57,अशुभम्,बुरा,aśubham,bad
2,57,न,न तो,na,neither
2,57,अभिनन्दति,हर्षित होता है,abhinandati,is happy
2,57,न,न ही,na,No
2,57,द्वेष्टि,द्वेष करता है,dveṣṭi,hates
2,57,तस्य,उसका,tasya,His
2,57,प्रज्ञा,"ज्ञान, प्रतिष्ठिता",prajñā,"knowledge, reputation"
2,58,यदा,जब,yadā,When
2,58,संहरते,संकुचित कर लेता है,saṃharate,compresses
2,58,च,भी,ca,Too
2,58,अयम्,यह,ayam,it
2,58,कर्म:,कछुआ,karma:,Tortoise
2,58,अड्गानि,अंग,aḍgāni,Organ
2,58,इव,वैसे ही,iva,same way
2,58,सर्वशः,पूरी तरह,sarvaśaḥ,completely
2,58,इन्द्रियाणि,इन्द्रियाँ इन्द्रिय,indriyāṇi,senses senses
2,58,तस्य,उसकी,tasya,His
2,58,प्रज्ञा,दिव्य चेतना,prajñā,divine consciousness
