Chapter,Verse,Speaker,Sanskrit ,Swami Adidevananda,Swami Gambirananda,Swami Sivananda,Dr. S. Sankaranarayan,Shri Purohit Swami
3,19,भगवान,तस्मादसक्तः सततं कार्यं कर्म समाचर| असक्तो ह्याचरन्कर्म परमाप्नोति पूरुषः || 3.19 ||  ,"Therefore, do your work without attachment, which ought to be done. For, a person who works without attachment attains the Supreme.","Therefore, remaining unattached, always perform the obligatory duty; for, by performing one's duty without attachment, a person attains the highest.","Therefore, without attachment, always perform the actions that should be done; for by performing actions without attachment, one reaches the Supreme.","Therefore, always remaining unattached, you should perform the action that is to be performed; for, the person performing action without attachment attains the Supreme.","Therefore, do your duty perfectly, without worrying about the results, for he who does his duty without attachment attains the Supreme."
3,20,भगवान,कर्मणैव हि संसिद्धिमास्थिता जनकादयः| लोकसंग्रहमेवापि संपश्यन्कर्तुमर्हसि || 3.20 ||  ,"Indeed, Janaka and others reached perfection through Karma Yoga alone. Even recognizing its necessity for guiding the world, you must perform action.","For Janaka and others strove to attain liberation through action itself. You should perform your duties, keeping in view the prevention of mankind from going astray.","Janaka and others attained perfection indeed through action alone; even with the intention of protecting the masses, you should perform action.","Janaka and others attained emancipation through action alone. Moreover, you should act with the intention of upholding the world.","King Janaka and others attained perfection through action alone. Even for the sake of enlightening the world, it is your duty to act."
3,21,भगवान,यद्यदाचरति श्रेष्ठस्तत्तदेवेतरो जनः| स यत्प्रमाणं कुरुते लोकस्तदनुवर्तते || 3.21 ||  ,"Whatever a great man does, others do too. Whatever standard he sets, the world follows it.","Whatever a superior person does, another person does the same! Whatever they uphold as authority, an ordinary person follows that.","Whatever a great man does, others also do; whatever he establishes as the standard, the world follows.","Whatever a great man does, others of lesser stature follow suit; whatever standard he sets, the world follows it.","For whatever a great man does, others imitate; people conform to the standard he has set."
3,22,भगवान,न मे पार्थास्ति कर्तव्यं त्रिषु लोकेषु किञ्चन| नानवाप्तमवाप्तव्यं वर्त एव च कर्मणि || 3.22 ||  ,"For me, Arjuna, there is nothing in all the three worlds that ought to be done, nor is there anything unaccomplished that ought to be accomplished. Yet I continue to work.","In all the three worlds, O Partha, there is no duty for Me to fulfill; nothing remains unachieved or to be achieved. (Still,) I continue in action.","There is nothing in the three worlds, O Arjuna, that needs to be done by Me, nor is there anything unattained that needs to be attained; yet I engage Myself in action.","O son of Prtha! For Me, there is nothing to be done in the three worlds, nor is there anything yet to be attained; and yet I am engaged in action.","There is nothing in this universe, O Arjuna, that I am compelled to do, nor anything for me to attain; yet I persistently remain active."
3,23,भगवान,यदि ह्यहं न वर्तेयं जातु कर्मण्यतन्द्रितः| मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः || 3.23 ||  ,"If I did not continue to work unweariedly, O Arjuna, people would follow my path.","For, O Partha, if at any time I do not continue vigilantly in action, people will follow My path in every way.","For, should I not ever engage myself in action, unwearied, people would in every way follow my path, O Arjuna.","For, if I were ever not to work unwearied, all men would follow My path, O son of Prtha!","Were I not to act without ceasing, O prince, people would be inclined to do the same."
3,24,भगवान,उत्सीदेयुरिमे लोका न कुर्यां कर्म चेदहम्| सङ्करस्य च कर्ता स्यामुपहन्यामिमाः प्रजाः || 3.24 ||  ,"If I do not do the work, these people will be lost; and I will be causing chaos in life and thereby ruining all these people.","These worlds would be ruined if I did not perform action. And I shall become the agent of intermingling (of castes), and shall be destroying these beings.",These worlds would perish if I did not perform action; I would be the author of confusion of castes and destruction of these beings.,These worlds would perish if I were not to perform action; and I would be the cause of confusion; I would destroy these people.,"And if I were to refrain from action, the human race would be ruined; I would lead the world to chaos, and destruction would follow."
3,25,भगवान,सक्ताः कर्मण्यविद्वांसो यथा कुर्वन्ति भारत| कुर्याद्विद्वांस्तथासक्तश्िचकीर्षुर्लोकसंग्रहम् || 3.25 ||  ,"Just as the ignorant, attached to their work, act, O Arjuna, so too the learned should act without any attachment, and only for the welfare of the world.","O scion of the Bharata dynasty, as the unenlightened people act with attachment to work, so should the enlightened person act, without attachment, desiring to prevent people from going astray.","As the ignorant act out of attachment to action, O Bharata, so should the wise act without attachment, wishing for the welfare of the world.","Therefore, just as the unwise persons, being attached to action, do, O son of Prtha, so the wise should perform, but being unattached and desiring to hold the world together.","As the ignorant act, out of their fondness for action, so should the wise act without attachment, fixing their eyes, O Arjuna, only on the welfare of the world."
3,26,भगवान,न बुद्धिभेदं जनयेदज्ञानां कर्मसङ्गिनाम्| जोषयेत्सर्वकर्माणि विद्वान् युक्तः समाचरन् || 3.26 ||  ,"He should not bewilder the minds of the ignorant who are attached to work; rather, he should himself perform work with devotion and cause others to do the same.","The enlightened man should not disturb the beliefs of the ignorant, who are attached to work. He should remain diligent himself and make them perform all their duties.","Let no wise man unsettle the minds of ignorant people who are attached to action; he should engage them in all actions, himself fulfilling them with devotion.","Let the wise master of Yoga fulfill (or destroy) all actions by performing them all, and let him not create any disturbance in the minds of the ignorant persons attached to action.","But a wise man should not disturb the minds of the ignorant, who are attached to action; let him perform his own actions in the right spirit, with concentration on Me, thus inspiring all others to do the same."
3,27,भगवान,प्रकृतेः क्रियमाणानि गुणैः कर्माणि सर्वशः| अहङ्कारविमूढात्मा कर्ताऽहमिति मन्यते || 3.27 ||  ,"Actions are being performed in every way by the Gunas of Prakrti; he whose nature is deluded by egoism, however, thinks, 'I am the doer.'","While actions are being done in every way by the gunas (qualities) of Nature, one who is deluded by egoism thinks, ""I am the doer.""","All actions are wrought in all cases by the qualities of Nature alone. He whose mind is deluded by egoism thinks, ""I am the doer.""","The actions are performed part by part by the strands of Prakriti; yet, the person, having his self (mind) deluded with egoity, imagines, 'I am the sole doer.'","Action is the product of the qualities inherent in nature. It is only the ignorant man who, misled by personal egotism, says, ""I am the doer."""
3,28,भगवान,तत्त्ववित्तु महाबाहो गुणकर्मविभागयोः| गुणा गुणेषु वर्तन्त इति मत्वा न सज्जते || 3.28 ||  ,"But he who knows the truth about the division of the Gunas and works, O mighty-armed one, through his knowledge that the Gunas 'operate on their own products,' is not attached.","But, O mighty-armed one, the one who is a knower of the facts about the varieties of the gunas and actions does not become attached, thinking thus: 'The organs act on the objects of the organs.'","But he who knows the Truth, O mighty-armed Arjuna, about the divisions of the qualities and their functions, knowing that the Gunas, as senses, move amidst the Gunas, as the sense-objects, is not attached.","But, O mighty-armed one, the one who knows the true nature of the strands and their respective divisions of work, realizes: 'The strands are in their respective purposes.' And thus, he is not attached.","But he, O Mighty One, who correctly understands the relationship between the Qualities and action, is not attached to the act, for he perceives that it is merely the action and reaction of the Qualities among themselves."
3,29,भगवान,प्रकृतेर्गुणसम्मूढाः सज्जन्ते गुणकर्मसु| तानकृत्स्नविदो मन्दान्कृत्स्नविन्न विचालयेत् || 3.29 ||  ,Those who are deluded by the Gunas of Prakrti are attached to the works of the Gunas. But he who knows the whole truth should not disturb the ignorant who do not know the whole truth.,"Those who are completely deluded by the gunas of Nature become attached to the activities of the gunas. The one who knows the All should not disturb those of dull intellect, who do not know the All.",Those deluded by the qualities of Nature are attached to the functions of the qualities. The man of perfect knowledge should not unsettle the foolish one who is of imperfect knowledge.,"Men, completely deluded by the strands of Prakrti, are attached to the actions of those strands. Those who know fully should not confuse them, whereas the dullards who do not know fully.","Those who do not understand the qualities are interested in the act; however, the wise man who knows the truth should not disturb the mind of those who do not."
3,30,भगवान,मयि सर्वाणि कर्माणि संन्यस्याध्यात्मचेतसा| निराशीर्निर्ममो भूत्वा युध्यस्व विगतज्वरः || 3.30 ||  ,"Surrender all your actions to Me, with a mind focused on the Self, free from desire and selfishness, and fight with the heat of excitement abated.","Free from the fever of the soul, dedicate all actions to Me, with your mind intent on the Self, and become free from expectations and egoism, and engage in battle.","Renouncing all actions in Me, with the mind centered on the Self, free from hope and egoism, and from mental fever, fight thou.","Renouncing all actions in Me, with a mind that concentrates on the Self; being free from the act of resting and from the sense of possession; and consequently being free from mental fever; you should fight.","Therefore, surrender your actions to Me, keep your thoughts focused on the Absolute, free from selfishness and without expecting a reward, with a mind free from excitement, begin to fight."
3,31,भगवान,ये मे मतमिदं नित्यमनुतिष्ठन्ति मानवाः| श्रद्धावन्तोऽनसूयन्तो मुच्यन्ते तेऽपि कर्मभिः || 3.31 ||  ,"Those men who, full of faith, ever practice this teaching of Mine and those who receive it without cavil—even they are released from karma.","Those who faithfully follow this teaching of Mine without cavil, they too become freed from their actions.","Those who constantly practice this teaching of Mine with faith and without caviling, they too are freed from actions.","Those who constantly follow this doctrine of Mine, with faith and without finding fault, are freed from the results of all actions.","Those who always act in accordance with My precepts, firmly in faith and without caviling, they too are freed from the bondage of action."
3,32,भगवान,ये त्वेतदभ्यसूयन्तो नानुतिष्ठन्ति मे मतम्| सर्वज्ञानविमूढांस्तान्विद्धि नष्टानचेतसः || 3.32 ||  ,"But those who slander it, and those who do not practice this teaching of Mine—know them to be utterly senseless and devoid of all knowledge, and thus lost.","But those who, finding fault where there is none, do not follow My teaching, know them—who are deluded about all knowledge concerning the qualified and the unqualified Brahman and who are devoid of discrimination—to have gone to ruin.","But those who criticize My teaching and do not practice it, deprived of all knowledge and lacking discernment, know them to be doomed to destruction.","But those who, finding fault, do not follow this doctrine of Mine - be sure that these men are highly deluded in all branches of knowledge and are lost and brainless.","But they who ridicule My word and do not observe it, are ignorant, devoid of wisdom, and blind. They seek only their own destruction."
3,33,भगवान,सदृशं चेष्टते स्वस्याः प्रकृतेर्ज्ञानवानपि| प्रकृतिं यान्ति भूतानि निग्रहः किं करिष्यति || 3.33 ||  ,Even the man of knowledge acts according to his nature; all beings follow their own nature. What will repression accomplish?,Even a man of wisdom behaves according to his own nature. They follow their nature. What can restraint do?,Even a wise man acts in accordance with his own nature; beings will follow their nature; what can restraint do?,Even a man of knowledge acts in accordance with his own Prakriti; the elements return to Prakriti; what will restraint avail?,"Even the wise man acts in accordance with his nature; indeed, all creatures act according to their natures. What is the use of compulsion then?"
3,34,भगवान,इन्द्रियस्येन्द्रियस्यार्थे रागद्वेषौ व्यवस्थितौ| तयोर्न वशमागच्छेत्तौ ह्यस्य परिपन्थिनौ || 3.34 ||  ,"Each sense has a fixed attachment to and aversion for its corresponding object, but one should not come under their sway, for they are enemies.","Attraction and repulsion are ordained with respect to the objects of all the organs. One should not be swayed by these two, as they are adversaries.","Attachment and aversion for the objects of the senses abide in the senses; let no one come under their sway; for, they are his enemies.","For a man of worldly life, there are clearly fixed likes and dislikes with regard to the objects of each of his sense organs. These are the obstacles for him; the wise would not come under their control.","The love and hate that are aroused by the objects of sense arise from Nature; do not yield to them, as they only obstruct the path."
3,35,भगवान,श्रेयान्स्वधर्मो विगुणः परधर्मात्स्वनुष्ठितात्| स्वधर्मे निधनं श्रेयः परधर्मो भयावहः || 3.35 ||  ,"Better is one's own duty, even if done poorly, than the duty of another done well. It is better to die while performing one's own duty; the duty of another is full of fear.","One's own duty, though defective, is superior to another's duty well-performed. Death is better while engaged in one's own duty; another's duty is full of fear.","Better is one's own duty, though devoid of merit, than the duty of another well discharged. Better is death in one's own duty; the duty of another is fraught with fear.","Better is one's own duty, even if it lacks merit, than the well-performed duty of another; it is better to suffer ruin in one's own duty than to gain success in another's.","It is better to do one's own duty, however lacking in merit, than to do that of another, even though efficiently. It is better to die doing one's own duty, for doing the duty of another is fraught with danger."
3,36,अर्जुन,अथ केन प्रयुक्तोऽयं पापं चरति पूरुषः| अनिच्छन्नपि वार्ष्णेय बलादिव नियोजितः || 3.36 ||  ,"Arjuna said, ""But, O Krsna, what impels one to commit sin, even against their own will, as if constrained by force?""","Arjuna said, ""Now then, O scion of the Vrsni dynasty (Krsna), what compels this man to commit sin even against his will, as if he were constrained by force?""","Arjuna said, ""But what compels man to commit sin, even against his wishes, O Varshneya (Krishna), as if constrained by force?""","Arjuna said, ""Then, what induces this person of the world to commit sin, even though they do not desire it, as if they are being overpowered by a force?""","Arjuna asked, ""My Lord, what is it that drives a person to sin, even against their will and as if by compulsion?"""
3,37,भगवान,काम एष क्रोध एष रजोगुणसमुद्भवः| महाशनो महापाप्मा विद्ध्येनमिह वैरिणम् || 3.37 ||  ,"The Lord said, ""It is desire, it is wrath, born of the guna of rajas; it is a great devourer, an impeller of sin. Know this to be the enemy here.""","The Blessed Lord said, ""This desire, this anger, born of the quality of rajas, is a great devourer, a great source of sin. Know this to be the enemy here.""","The Blessed Lord said, ""It is desire and it is anger, both of the quality of Rajas, all-devouring and all-sinful; know this as the foe here in this world.""","The Bhagavat said, ""This desire, this wrath, born of the Rajas-strand, is a swallower of festivity and a mighty bestower of sins. Know this to be the enemy here.""","Lord Shri Krishna: It is desire, it is aversion, born of passion. Desire consumes and corrupts all things. It is the greatest enemy of man."
3,38,भगवान,धूमेनाव्रियते वह्निर्यथाऽऽदर्शो मलेन च| यथोल्बेनावृतो गर्भस्तथा तेनेदमावृतम् || 3.38 ||  ,"As a fire is enveloped by smoke, as a mirror is covered by dust, and as an embryo is encased in the amniotic sac, so is this world enveloped by desire.","As fire is enveloped by smoke, as a mirror is obscured by dirt, and as a fetus remains enclosed in the womb, so is this shrouded by that.","As fire is enveloped by smoke, as a mirror is covered by dust, and as an embryo is surrounded by the amniotic sac, so is this enveloped by that.","As fire is concealed by smoke, a mirror by dirt, and an embryo by its membrane-cover, so He is concealed by this foe.","As fire is shrouded by smoke, a mirror is covered by dust, and a child is enveloped by the womb, so is the universe enveloped in desire."
3,39,भगवान,आवृतं ज्ञानमेतेन ज्ञानिनो नित्यवैरिणा| कामरूपेण कौन्तेय दुष्पूरेणानलेन च || 3.39 ||  ,"The knowledge of the intelligent self is enveloped by this constant enemy, O Arjuna, which is of the nature of desire and is difficult to gratify and insatiable.","O son of Kunti, knowledge is covered by this constant enemy of the wise, in the form of desire, which is an insatiable fire.","O Arjuna, wisdom is enveloped by this constant enemy of the wise, in the form of desire, which is insatiable like fire.","O son of Kunti! The knowledge of the wise is concealed by this eternal foe, which appears desirable yet is insatiable like fire.","It is the wise man's constant enemy; it tarnishes the face of wisdom, being as insatiable as a flame of fire."
3,40,भगवान,इन्द्रियाणि मनो बुद्धिरस्याधिष्ठानमुच्यते| एतैर्विमोहयत्येष ज्ञानमावृत्य देहिनम् || 3.40 ||  ,"The senses, the mind, and the intellect are said to be its instruments; by these, it overpowers the embodied self, enveloping its knowledge.","The organs, mind, and intellect are said to be its abode. This one diversely deludes the embodied being, veiling Knowledge with the help of these.","The senses, the mind, and the intellect are said to be its seat; through these, it deludes the embodied one, veiling their wisdom.","It is said to be based on the sense-organs, the mind, and the intellect. With these, it deludes the embodied by concealing knowledge.","It works through the senses, the mind, and the reason; and with their help, it destroys wisdom and confounds the soul."
3,41,भगवान,तस्मात्त्वमिन्द्रियाण्यादौ नियम्य भरतर्षभ| पाप्मानं प्रजहि ह्येनं ज्ञानविज्ञाननाशनम् || 3.41 ||  ,"Therefore, O Arjuna, control your senses from the outset and slay this sinful thing that destroys both knowledge and discernment.","Therefore, O scion of the Bharata dynasty, after first controlling the organs, completely renounce this one which is sinful and a destroyer of learning and wisdom.","Therefore, O best of the Bharatas, control your senses first and then kill this sinful thing, which destroys knowledge and realization.","Therefore, O best among the Bharatas, you must avoid this sinful one, destroying knowledge and action, by controlling completely the sense-organs in the beginning itself.","Therefore, O Arjuna, first control your senses and then slay desire, for it is full of sin and is the destroyer of knowledge and wisdom."
3,42,भगवान,इन्द्रियाणि पराण्याहुरिन्द्रियेभ्यः परं मनः| मनसस्तु परा बुद्धिर्यो बुद्धेः परतस्तु सः || 3.42 ||  ,"They say that the senses are high, the mind is higher than the senses, the intellect is higher than the mind, but what is greater than the intellect is that (desire).","They say that the organs are superior to the gross body; the mind is superior to the organs; and the intellect is superior to the mind. However, He is superior to the intellect.",They say that the senses are superior to the body; the mind is superior to the senses; the intellect is superior to the mind; and He (the Self) is superior even to the intellect.,It is said that the sense-organs are different from their objects; the mind is different from the sense-organs; the intellect is different from the mind; and That (Self) is different from the intellect.,"It is said that the senses are powerful; however, beyond the senses is the mind, beyond the mind is the intellect, and greater than the intellect is He."
3,43,भगवान,एवं बुद्धेः परं बुद्ध्वा संस्तभ्यात्मानमात्मना| जहि शत्रुं महाबाहो कामरूपं दुरासदम् || 3.43 || ,"Thus, knowing that which is higher than the intellect and fixing the mind with the help of the intellect in Karma Yoga, O Arjuna, slay this enemy which takes the form of desire, and which is difficult to overcome.","[The Ast, introduces this verse with, 'Tatah kim, what follows from that?'-Tr.] Understanding the Self thus as superior to the intellect, and completely establishing (the Self) through spiritual absorption with the (help of) the mind, O mighty-armed one, the enemy in the form of desire, which is difficult to subdue, vanishes.","Thus, knowing Him who is superior to the intellect and restraining the self by the Self, slay thou, O mighty-armed Arjuna, the enemy in the form of desire, hard to conquer.","Thus, being conscious that it is different from the intellect, and steadying the self with the self, kill the foe that is of the form of desire and that is hard to approach.","Thus, O Mighty-Armed One, knowing Him to be beyond the intellect, and with His help, subdue your personal ego and kill your enemy, Desire, even though it is extremely difficult."
4,1,भगवान,इमं विवस्वते योगं प्रोक्तवानहमव्ययम्| विवस्वान् मनवे प्राह मनुरिक्ष्वाकवेऽब्रवीत् || 4.1 ||  ,"The Lord said, ""I taught this imperishable Yoga to Vivasvan; Vivasvan taught it to Manu; Manu declared it to Iksvaku.""","The Blessed Lord said, ""I imparted this imperishable Yoga to Vivasvan, who then taught it to Manu, who in turn transmitted it to Iksavaku.","The Blessed Lord said, ""I taught this imperishable Yoga to Vivasvan; he then told it to Manu; Manu proclaimed it to Ikshvaku.","The Bhagavad said, ""This changeless Yoga I had properly taught thus to Vivasvat; Vivasvat correctly told it to Manu; and Manu declared it to Iksvaku.""","Lord Shri Krishna said: I taught this imperishable philosophy to Vivaswān, the founder of the Sun dynasty; Vivaswān gave it to Manu, the lawgiver, and Manu to King Ikshvāku."
4,2,भगवान,एवं परम्पराप्राप्तमिमं राजर्षयो विदुः| स कालेनेह महता योगो नष्टः परन्तप || 4.2 ||  ,"Thus handed down in succession, the royal sages knew this (Karma Yoga). But with a long lapse of time, O Arjuna, that Yoga was lost to the world.","The king-sages knew this yoga, which was received in regular succession. That yoga, O destroyer of foes, is now lost due to a long lapse of time.","This, handed down in regular succession by the royal sages, was known. This Yoga, however, has been lost here over time, O Parantapa (burner of the foes).","Thus, the regal sages knew this, which was received in regular succession. Over time, however, this Yoga has been lost, O scorcher of enemies!","The Divine Kings knew it, for it was their tradition; then, after a long time, it was at last forgotten."
4,3,भगवान,स एवायं मया तेऽद्य योगः प्रोक्तः पुरातनः| भक्तोऽसि मे सखा चेति रहस्यं ह्येतदुत्तमम् || 4.3 ||  ,"It is the same ancient Yoga that I am now teaching you, for you are My devotee and My friend. For, this is a supreme mystery.","That ancient Yoga itself, which is this, has been taught to you by Me today, considering you to be My devotee and friend, for this Yoga is a profound secret.","That same ancient yoga has been today taught to you by me, for you are my devotee and my friend; it is the supreme secret.","The same ancient Yoga has now been taught to you by Me, on the grounds that you are both My devotee and friend. This is the highest secret.","It is the same ancient path that I have now revealed to you, for you are my devotee and my friend. It is the supreme secret."
4,4,अर्जुन,अपरं भवतो जन्म परं जन्म विवस्वतः| कथमेतद्विजानीयां त्वमादौ प्रोक्तवानिति || 4.4 ||  ,"Arjuna said, ""Your birth was later, and Vivasvan's birth was earlier. How then can I understand that you taught it in the beginning?""","Arjuna said, ""Your birth was later, whereas Vivasvan's birth was earlier. How am I to understand that You instructed him in the beginning?""","Arjuna said, ""Later was Thy birth, and prior to it was the birth of Vivasvan (the Sun); how am I to understand that Thou hast taught this Yoga from the beginning?""","Arjuna said, ""Your birth is later, while the birth of Vivasvat is earlier; how am I then to understand that You had properly taught him this in the beginning?""",Arjuna asked: My Lord! Vyasawana was born before You; how then can You have revealed it to him?
4,5,भगवान,बहूनि मे व्यतीतानि जन्मानि तव चार्जुन| तान्यहं वेद सर्वाणि न त्वं वेत्थ परन्तप || 4.5 ||  ,"The Lord said, ""Many of My births have passed, O Arjuna, as have yours. I know them all, but you do not know them.""","The Blessed Lord said, ""O Arjuna, many lives of Mine have passed, and so have yours. I know them all, but you do not know, O scorcher of enemies!""","The Blessed Lord said, ""Many births of Mine have passed, as well as of thine, O Arjuna; I know them all, but thou knowest not, O Parantapa (scorcher of foes).""","The Bhagavat said, ""O Arjuna, many births of Mine as well as yours have passed. All of them I know, but you do not, O scorcher of foes!""","Lord Shri Krishna replied: I have been born again and again, from time to time; thou too, O Arjuna! My births are known to me, but yours are unknown to you."
4,6,भगवान,अजोऽपि सन्नव्ययात्मा भूतानामीश्वरोऽपि सन्| प्रकृतिं स्वामधिष्ठाय संभवाम्यात्ममायया || 4.6 ||  ,"Though I am birthless and of immutable nature, and the Lord of all beings, yet by employing My own Nature (Prakrti), I am born out of My own free will.","Though I am birthless and undecaying by nature, and the Lord of beings, yet by subjugating My Prakriti, I take birth through My own Maya.","Though I am unborn and of imperishable nature, and though I am the Lord of all beings, yet, governing my own nature, I am born by my own Maya.","Though I am unborn and changeless Self, though I am the Lord of all beings, yet, presiding over My own nature, I take birth by My own trick of illusion.","There is no beginning to Me. Though I am imperishable and the Lord of all that exists, I manifest Myself by My own will and power."
4,7,भगवान,यदा यदा हि धर्मस्य ग्लानिर्भवति भारत| अभ्युत्थानमधर्मस्य तदाऽऽत्मानं सृजाम्यहम् || 4.7 ||  ,"Whenever there is a decline of Dharma, O Arjuna, and an uprising of Adharma, then I incarnate myself.","O scion of the Bharata dynasty, whenever there is a decline in virtue and an increase in vice, then I manifest Myself.","Whenever there is a decline of righteousness and an increase of unrighteousness, O Arjuna, then I manifest Myself.","For, whenever there is a decay of righteousness and the rise of unrighteousness, then, O descendant of Bharata, I send forth that which the Self is unimportant.","Whenever spirituality decays and materialism is rampant, then, O Arjuna, I reincarnate myself."
4,8,भगवान,परित्राणाय साधूनां विनाशाय च दुष्कृताम्| धर्मसंस्थापनार्थाय संभवामि युगे युगे || 4.8 ||  ,"For the protection of the good and the destruction of the wicked, for the establishment of Dharma, I am born from age to age.","For the protection of the pious, the destruction of the evil-doers, and the establishment of virtue, I manifest myself in every age.","For the protection of the good, for the destruction of the wicked, and for the establishment of righteousness, I am born in every age.","For the protection of the good people, and for the destruction of evildoers, and for the purpose of firmly establishing righteousness, I take birth in every age.","To protect the righteous, to destroy the wicked, and to establish the kingdom of God, I am reborn from age to age."
4,9,भगवान,जन्म कर्म च मे दिव्यमेवं यो वेत्ति तत्त्वतः| त्यक्त्वा देहं पुनर्जन्म नैति मामेति सोऽर्जुन || 4.9 ||  ,"He who thus knows in truth My divine birth and actions does not get rebirth after leaving the body; he will come to Me, O Arjuna.","He who thus knows truly the divine birth and actions of Mine does not get rebirth after casting off the body. He attains Me, O Arjuna.","He who thus knows, in their true light, My divine birth and actions, having abandoned the body, is not born again; he comes to Me, O Arjuna.","Whoever knows correctly the divine birth and action of Mine, he, upon abandoning the body, does not go to rebirth, but goes to Me, O Arjuna!","He who realizes the divine truth concerning My birth and life does not take birth again; and when he leaves his body, he becomes one with Me."
4,10,भगवान,वीतरागभयक्रोधा मन्मया मामुपाश्रिताः| बहवो ज्ञानतपसा पूता मद्भावमागताः || 4.10 ||  ,"Freed from desire, fear, and wrath, absorbed in Me, depending upon Me, purified by the austerity of knowledge, many have attained My state.","Many who were devoid of attachment, fear, and anger, who were absorbed in Me, who had taken refuge in Me, and were purified by the austerity of knowledge, have attained My state.","Freed from attachment, fear, and anger, absorbed in Me, taking refuge in Me, purified by the fire of knowledge, many have attained My Being.","Many persons, who are free from passion, fear, and anger; are full of Me; take refuge in Me; and have become pure through the austerity of wisdom—they have come to My being.","Many have merged their existences in Mine, being freed from desire, fear, and anger, always filled with Me and purified by the illuminating flame of self-abnegation."
4,11,भगवान,ये यथा मां प्रपद्यन्ते तांस्तथैव भजाम्यहम्| मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः || 4.11 ||  ,"Whoever resorts to Me in any manner, I favor them in the same manner; men experience Me alone in different ways, O Arjuna.","According to the manner in which they approach Me, I favor them in that same manner. O son of Partha, humans follow My path in every way.","In whatever way men approach Me, even so do I reward them; My path do men tread in all ways, O Arjuna.","The way in which people resort to Me, in the same way I favor them. O son of Prtha, all kinds of people follow My path.","However men try to worship Me, I welcome them. Whatever path they take, it leads to Me in the end."
4,12,भगवान,काङ्क्षन्तः कर्मणां सिद्धिं यजन्त इह देवताः| क्षिप्रं हि मानुषे लोके सिद्धिर्भवति कर्मजा || 4.12 ||  ,"Those who desire the fruits of their ritualistic acts, sacrifice to the gods here; for, success quickly accrues in the world of men.","Longing for the fruition of their actions (of their rites and duties), they worship the gods here. For, in the human world, success from action comes quickly.",Those who long for success in action in this world sacrifice to the gods; for success is quickly attained by men through action.,"Those who desire success in their actions perform sacrifices, intending them for the deities. For, the success born of ritualistic actions is quick in the world of men.","Those who seek success worship the Powers, and their actions in this world bear immediate fruit."
4,13,भगवान,चातुर्वर्ण्यं मया सृष्टं गुणकर्मविभागशः| तस्य कर्तारमपि मां विद्ध्यकर्तारमव्ययम् || 4.13 ||  ,"The system of four stations was created by Me, according to the distinction of Gunas and Karma. Though I am their creator, know Me to be non-agent and immutable.","The four castes have been created by Me through a classification of the gunas and duties. Even though I am the agent of that (act of classification), still know Me to be non-agentive and changeless.","The fourfold caste has been created by Me according to the differentiation of Guna and Karma; though I am the author of it, know Me as non-doer and immutable.","I have created the four-fold caste structure according to the division of their respective qualities and actions. Though I am the creator of this, know Me as the changeless, non-creator.","The four divisions of society—the wise, the soldier, the merchant, and the laborer—were created by Me, according to the natural distribution of qualities and instincts. I am the author of them, though I Myself do not act and am changeless."
4,14,भगवान,न मां कर्माणि लिम्पन्ति न मे कर्मफले स्पृहा| इति मां योऽभिजानाति कर्मभिर्न स बध्यते || 4.14 ||  ,Works cannot contaminate Me. There is no desire for the fruits of actions in Me. He who understands this is not bound by actions.,"Actions do not taint Me; for I have no hankering for the results of actions. One who knows Me thus, does not become bound by their actions.","Actions do not taint Me, nor do I have a desire for the fruit of actions. He who knows Me thus is not bound by actions.","Actions do not stain me, nor do I have a desire for the fruits of them either. Whoever understands me in this way is not bound by their actions.","My actions do not bind Me, nor do I desire anything that they can bring. He who thus realizes Me is not enslaved by action."
4,15,भगवान,एवं ज्ञात्वा कृतं कर्म पूर्वैरपि मुमुक्षुभिः| कुरु कर्मैव तस्मात्त्वं पूर्वैः पूर्वतरं कृतम् || 4.15 ||  ,"Knowing thus, even ancient seekers of liberation did their work. Therefore, do your work only as the ancients did in olden times.","Thus having known, even the ancient seekers of liberation performed their duties. Therefore, you should undertake action as was performed earlier by the ancients.","Having known this, the ancient seekers of freedom also performed action; therefore, do thou also perform action, as the ancients did in days of yore.","Realizing in this fashion, ancient seekers of salvation also undertook action. Hence, you too should, by all means, perform the action that was performed by the ancients.","In the light of wisdom, our ancestors who sought deliverance performed their acts. Act thou also as our fathers of old did."
4,16,भगवान,किं कर्म किमकर्मेति कवयोऽप्यत्र मोहिताः| तत्ते कर्म प्रवक्ष्यामि यज्ज्ञात्वा मोक्ष्यसेऽशुभात् || 4.16 ||  ,"What is action? What is non-action? Even the wise are puzzled in respect of these. I shall declare to you that kind of action, knowing which you will be freed from evil.","Even the intelligent are confounded as to what is action and what is inaction. I shall tell you of that action, knowing which you will become free from evil.","What is action? What is inaction? Even the wise are confused about this. Therefore, I shall teach you the nature of action and inaction, by knowing which you will be liberated from the evil of Samsara, the wheel of birth and death.","Even the wise are perplexed about what is action and what is non-action; I shall properly teach you the action, by knowing which you will be freed from evil.","What is action and what is inaction? This is a question that has bewildered the wise. But I will declare to you the philosophy of action, and knowing it, you will be free from evil."
